GeneID	inverted	FS-FI	FS-FI.18	FS-FI.25	FS-FI.int	FS-MS	FS-MS.18	FS-MS.25	FS-MS.int	MS-FI	MS-FI.18	MS-FI.25	MS-FI.int	T18-25
a	Std	0.205991228	0.072248189	0.755797105	0.213340904	0.755797105	0.034697057	0.375347839	0.308062754	0.572240604	0.731796093	0.567148231	0.814567981	5.64E-10
abd-A	In3RP	0.160871162	0.043325853	0.726202087	0.174578103	0.726202087	0.072483006	0.610781818	0.308461275	0.978879583	0.824360847	0.873941793	0.743549154	2.31E-06
Abl	Std	0.029943304	0.00253763	0.634008496	0.022887772	0.634008496	0.145480696	0.937718686	0.22902981	0.205443651	0.095463796	0.690508587	0.264101712	0.164309152
abo	Std	0.435860563	0.128436611	0.789596371	0.119704886	0.789596371	0.969031628	0.958923024	0.991056092	0.472561534	0.139039594	0.753701551	0.120317371	0.289737536
Ace	Std	0.748588498	0.765805158	0.422336381	0.336112594	0.422336381	0.107305482	0.668204949	0.308919159	0.123258742	0.183301804	0.228995035	0.930592361	0.044167438
Acph-1	Std	0.006903285	0.019516283	0.032714413	0.831492884	0.032714413	0.084743536	0.449614185	0.382062481	0.209800667	0.517941557	0.158500986	0.505487844	1.44E-11
mAChR-A	Std	0.46726985	0.05770741	0.502890291	0.029109457	0.502890291	0.01605073	0.800613236	0.065731679	0.367280649	0.566823096	0.36855137	0.759610079	0.002183541
nAChRbeta1	Std	0.614442681	0.783800351	0.586796169	0.800698536	0.586796169	0.376659175	0.513248853	0.862092867	0.663429776	0.538141795	0.911267908	0.674642423	3.51E-06
nAChRalpha2	In3RP	0.529686797	0.686596682	0.534716424	0.833964753	0.534716424	0.221548945	0.182632361	0.879104595	0.032950333	0.106377851	0.058461011	0.724244818	0.001380694
Act5C	Std	0.035059009	0.113403089	0.058965304	0.769617461	0.058965304	0.176402961	0.177460782	0.992655664	0.62304694	0.809989534	0.573607283	0.77662816	1.93E-10
Act42A	Std	0.118678065	0.171398311	0.231676767	0.881167386	0.231676767	0.500042617	0.725918129	0.778431754	0.031012478	0.043887904	0.123836445	0.666482583	0.007100776
Act57B	Std	0.28911699	0.194403074	0.662390542	0.450689925	0.662390542	0.816547076	0.835169103	0.983494719	0.185314506	0.127721348	0.518976341	0.438220276	0.968795325
Act79B	Std	0.161796361	0.104147076	0.509735321	0.387439752	0.509735321	0.321773238	0.616462899	0.195677885	0.271428163	0.515529978	0.2487245	0.662340228	4.34E-18
Act87E	Std	0.409392624	0.3616671	0.660382007	0.680930177	0.660382007	0.793249861	0.541400306	0.760182356	0.177389054	0.242044689	0.29633059	0.915060691	0.034692163
Act88F	Std	0.399097205	0.177183586	0.890428489	0.350549302	0.890428489	0.176237329	0.15638157	0.018302556	0.315774716	0.997002093	0.12803938	0.155647095	4.28E-12
ade2	Std	0.494731164	0.700935346	0.463060203	0.760057516	0.463060203	0.144404075	0.448162723	0.534601137	0.496318975	0.278387252	0.980244092	0.355623002	0.007864029
