FR180,SRX058184
FR217,SRX058186
FR229,SRX058187
FR361,SRX058189
CK1,SRX058145
CO10N,SRX058150
CO13N,SRX058151
CO14,SRX058152
CO15N,SRX058153
CO16,SRX058154
CO1,SRX058148
CO2,SRX058155
CO4N,SRX058156
CO8N,SRX058158
CO9N,SRX058159
EZ25,SRX058177
EZ2,SRX058175
EZ9N,SRX058180
GA125,SRX058192
GA129,SRX058193
GA132,SRX058195
GA141,SRX058196
GA145,SRX058197
GA160,SRX058198
GA185,SRX058199
GU10,SRX058205
GU6,SRX058209
GU7,SRX058210
GU9,SRX058211
KN133N,SRX058256
KN20N,SRX058253
KN35,SRX058258
KR39,SRX058267
KR42,SRX058268
KR4N,SRX058269
KR7,SRX058272
KT6,SRX058274
NG10N,SRX058275
NG1N,SRX058276
NG3N,SRX058378
NG9,SRX058280
SP221,SRX058288
TZ10,SRX058283
TZ14,SRX058284
TZ8,SRX058285
UM118,SRX058381
UM37,SRX058382
UM526,SRX058383
ZO65,SRX058294
ZS11,SRX058372
ZS37,SRX058373
ZS5,SRX058374
CK2,SRX058146
ED2,SRX058163
ED3,SRX058164
ED5N,SRX058173
ED6N,SRX058174
ED10N,SRX058161
EZ5N,SRX058178
GA130,SRX058194
GA191,SRX058200
GU2,SRX058207
KN6,SRX058260
KN34,SRX058257
KT1,SRX058273
NG6N,SRX058278
NG7,SRX058279
RC1,SRX058281
RC5,SRX058282
RG2,SRX058345
RG3,SRX058351
RG4N,SRX058362
RG5,SRX058367
RG6N,SRX058368
RG7,SRX058369
RG8,SRX058370
RG9,SRX058371
RG10,SRX058338
RG11N,SRX058339
RG13N,SRX058340
RG15,SRX058341
RG18N,SRX058343
RG19,SRX058344
RG21N,SRX058346
RG22,SRX058347
RG24,SRX058348
RG25,SRX058349
RG28,SRX058350
RG32N,SRX058352
RG33,SRX058353
RG34,SRX058354
RG35,SRX058355
RG36,SRX058357
RG37N,SRX058358
RG38N,SRX058359
RG39,SRX058360
SP80,SRX058292
SP173,SRX058286
SP188,SRX058287
SP235,SRX058289
SP241,SRX058290
SP254,SRX058291
UG5N,SRX058379
UG7,SRX058380
UG19,SRX058376
UG28N,SRX058277
ZI91a,SRR189423
ZI261a,SRR189424
ZI268,SRR189425
ZI468,SRR189426
ZL130,SRX058391
FR14,SRX058182
FR70,SRX058190
FR151,SRX058183
FR310,SRX058188
RAL-301,SRX155995
RAL-303,SRX155978
RAL-304,SRX156009
RAL-306,SRX156007
RAL-307,SRX156012
RAL-313,SRX006277
RAL-315,SRX156010
RAL-324,SRX006144
RAL-335,SRX021097
RAL-357,SRX006146
RAL-358,SRX006283
RAL-360,SRX155999
RAL-362,SRX006288
RAL-365,SRX006291
RAL-375,SRX006150
RAL-379,SRX006293
RAL-380,SRX006303
RAL-391,SRX023452
RAL-399,SRX006154
RAL-427,SRX006155
RAL-437,SRX006156
RAL-486,SRX006157
RAL-513,SRX021282
RAL-517,SRX024363
RAL-555,SRX006159
RAL-639,SRX006161
RAL-705,SRX006162
RAL-707,SRX006163
RAL-714,SRX006166
RAL-730,SRX006308
RAL-732,SRX006167
RAL-765,SRX006169
RAL-774,SRX006170
RAL-786,SRX006171
RAL-799,SRX006172
RAL-820,SRX006174
RAL-852,SRX006304
