ZI81,SRR248128
ZI508,SRR346929
ZI505,SRR654649
ZI486,SRR654647
ZI448,SRR210790
ZI446,SRR342397
ZI405,SRR354003
ZI397N,SRR654677
ZI384,SRR354004
ZI362,SRR346932
ZI341,SRR203645
ZI319,SRR203461
ZI293,SRR203237
ZI292,SRR309281
ZI291,SRR202083
ZI264,SRR202095
ZI237,SRR203332
ZI233,SRR203347
ZI228,SRR203064
ZI221,SRR202074
ZI220,SRR203067
ZI99,SRR346927
ZI91,SRR189423
ZI86,SRR203231
ZI85,SRR203508
ZI76,SRR248123
ZI68,SRR210789
ZI61,SRR203472
ZI56,SRR346931
ZI530,SRR204009
ZI527,SRR203469
ZI524,SRR326795
ZI517,SRR353758
ZI514N,SRR654679
ZI50N,SRR203334
ZI504,SRR248124
ZI491,SRR654648
ZI490,SRR203505
ZI488,SRR326792
ZI477,SRR353760
ZI472,SRR203465
ZI471,SRR203500
ZI468,SRR189426
ZI467,SRR346925
ZI466,SRR202080
ZI460,SRR248108
ZI458,SRR248131
ZI457,SRR202078
ZI456,SRR203466
ZI455N,SRR654678
ZI453,SRR309274
ZI447,SRR371534
ZI445,SRR203476
ZI444,SRR203463
ZI433,SRR203504
ZI431,SRR654556
ZI421,SRR326791
ZI420,SRR203499
ZI418N,SRR202100
ZI413,SRR203509
ZI402,SRR353999
ZI398,SRR346930
ZI395,SRR326802
ZI394N,SRR202085
ZI392,SRR354002
ZI388,SRR309280
ZI386,SRR203228
ZI378,SRR203464
ZI377,SRR203498
ZI374,SRR204008
ZI373,SRR210782
ZI370,SRR248060
ZI365,SRR203236
ZI364,SRR204013
ZI359,SRR202129
ZI358,SRR346928
ZI357N,SRR354000
ZI348,SRR203475
ZI344,SRR309275
ZI342,SRR094875
ZI339,SRR309278
ZI336,SRR203507
ZI335,SRR203471
ZI332,SRR342392
ZI33,SRR654674
ZI329,SRR204006
ZI324,SRR204014
ZI321,SRR309277
ZI320,SRR326793
ZI31N,SRR346924
ZI316,SRR248059
ZI314,SRR203510
ZI313,SRR203327
ZI311N,SRR326797
ZI303,SRR326794
ZI295,SRR202099
ZI286,SRR248122
ZI281,SRR342393
ZI28,SRR203497
ZI279,SRR248125
ZI276,SRR202079
ZI271,SRR309276
ZI27,SRR326801
ZI269,SRR202094
ZI268,SRR189425
ZI265,SRR204017
ZI263,SRR210783
ZI261,SRR189424
ZI26,SRR202077
ZI255,SRR210784
ZI254N,SRR203335
ZI253,SRR203350
ZI252,SRR203349
ZI251N,SRR354001
ZI250,SRR202127
ZI240,SRR203324
ZI239,SRR309279
ZI235,SRR210792
ZI232,SRR202076
ZI231,SRR202093
ZI226,SRR203348
ZI225,SRR202084
ZI219,SRR203503
ZI216N,SRR203328
ZI213,SRR203329
ZI212,SRR204012
ZI211,SRR203470
ZI210,SRR203229
ZI207,SRR202075
ZI206,SRR203506
ZI200,SRR203234
ZI198,SRR203230
ZI196,SRR203467
ZI194,SRR203319
ZI193,SRR202124
ZI191,SRR202128
ZI185,SRR654669
ZI184,SRR203068
ZI182,SRR203473
ZI181,SRR203069
ZI179,SRR203233
ZI178,SRR203496
ZI176,SRR210794
ZI173,SRR203330
ZI172,SRR326800
ZI170,SRR210787
ZI167,SRR654553
ZI165,SRR248129
ZI164,SRR346921
ZI161,SRR353759
ZI157,SRR202089
ZI152,SRR326790
ZI138,SRR203474
ZI136,SRR204007
ZI134N,SRR326933
ZI129,SRR203232
ZI126,SRR203336
ZI118N,SRR654664
ZI117,SRR248130
ZI114N,SRR654662
ZI104,SRR654551
ZI10,SRR203502
